   3288513001696768.0        5.8832825666330915E+047   5.8768953632503350E+047   5.8190838663337329E+047   5.6198808157223662E+047   5.2380755797647886E+047   4.6438019881363991E+047   2.8709880692437442E+047   9.6774594131581897E+046
   6577026003393536.0        8.4476462578427086E+046   8.4454149646566587E+046   8.4251352616009334E+046   8.3540673937551945E+046   8.2123438138431107E+046   7.9753286702185367E+046   7.0951170665019727E+046   5.4463646550478081E+046
   9865539005090304.0        2.7144396739834945E+046   2.7141689337745972E+046   2.7117061954897523E+046   2.7030465768001521E+046   2.6856396700610199E+046   2.6561059979866448E+046   2.5413716179348952E+046   2.2998596893920292E+046
   13154052006787072.        1.2129746699975975E+046   1.2128973555877582E+046   1.2121939514649309E+046   1.2097187692604466E+046   1.2047346690813071E+046   1.1962515637454769E+046   1.1629672776247756E+046   1.0910743225615493E+046
   16442565008483840.        6.4938715711530751E+045   6.4935882519564122E+045   6.4910103608043880E+045   6.4819353616574633E+045   6.4636438764881426E+045   6.4324561462535417E+045   6.3094070304939647E+045   6.0397575971017150E+045
   19731078010180608.        3.8975904853044105E+045   3.8974820024024545E+045   3.8964948493034030E+045   3.8930186255871521E+045   3.8860066210936701E+045   3.8740342756370645E+045   3.8265916252030959E+045   3.7214376257702223E+045
   23019591011877376.        2.5313091877300965E+045   2.5312653849999433E+045   2.5308667756393205E+045   2.5294627830510689E+045   2.5266292997185205E+045   2.5217869159554682E+045   2.5025421349498042E+045   2.4595623759520228E+045
   26308104013574144.        1.7416775100991397E+045   1.7416515391931978E+045   1.7414151984151736E+045   1.7405827115815065E+045   1.7389024243166031E+045   1.7360302332333675E+045   1.7246079089127126E+045   1.6990541609239077E+045
   29596617015270912.        1.2523931428152214E+045   1.2523809363846454E+045   1.2522698523678139E+045   1.2518785283908624E+045   1.2510884844931611E+045   1.2497374140934177E+045   1.2443567043401976E+045   1.2322741947149261E+045
   32885130016967680.        9.3243744891819372E+044   9.3242921373695184E+044   9.3235426953180003E+044   9.3209025300309476E+044   9.3155720648313372E+044   9.3064555939924966E+044   9.2701395765256468E+044   9.1885372957006340E+044
   36173643018664448.        7.1403613257598304E+044   7.1403238339131905E+044   7.1399826334728358E+044   7.1387805499200778E+044   7.1363531353551428E+044   7.1322003244154361E+044   7.1156409495967234E+044   7.0783356908363679E+044
   39462156020361216.        5.5964447236515903E+044   5.5964177019666651E+044   5.5961717863533432E+044   5.5953053933217585E+044   5.5935558160452373E+044   5.5905625353695612E+044   5.5786254040999144E+044   5.5517250228296340E+044
   42750669022057984.        4.4727880716514527E+044   4.4727739719753475E+044   4.4726456542980120E+044   4.4721935586566675E+044   4.4712805314016875E+044   4.4697182402503330E+044   4.4634849704782615E+044   4.4494212681764011E+044
   46039182023754752.        3.6346383749180537E+044   3.6346279184920629E+044   3.6345327570037534E+044   3.6341974771038899E+044   3.6335203554040458E+044   3.6323616968628434E+044   3.6277384985667706E+044   3.6173054171936999E+044
   49327695025451520.        2.9961543459537107E+044   2.9961463157277126E+044   2.9960732344457084E+044   2.9958157480974291E+044   2.9952957310775520E+044   2.9944058872438303E+044   2.9908551013144834E+044   2.9828409743585611E+044
   52616208027148288.        2.5008276134827673E+044   2.5008212797090325E+044   2.5007636374148560E+044   2.5005605464387382E+044   2.5001503828741730E+044   2.4994485092191564E+044   2.4966476752524814E+044   2.4903255175153532E+044
   55904721028845056.        2.1103900355945400E+044   2.1103871805415856E+044   2.1103611971721411E+044   2.1102696477969465E+044   2.1100847436526078E+044   2.1097683021028970E+044   2.1085051265003253E+044   2.1056514054535206E+044
   59193234030541824.        1.7982774287017646E+044   1.7982751745658495E+044   1.7982546600336902E+044   1.7981823793217281E+044   1.7980363917880601E+044   1.7977865492297571E+044   1.7967891969450356E+044   1.7945358528102847E+044
   62481747032238592.        1.5456445426901774E+044   1.5456427148903999E+044   1.5456260803696076E+044   1.5455674703680438E+044   1.5454490935737752E+044   1.5452465026768236E+044   1.5444377595113224E+044   1.5426104513207087E+044
   65770260033935360.        1.3388617046374514E+044   1.3388601925955920E+044   1.3388464317346812E+044   1.3387979467213314E+044   1.3387000194890952E+044   1.3385324253367084E+044   1.3378633793774479E+044   1.3363516508566599E+044
   69058773035632128.        1.1679000640327429E+044   1.1678992429938685E+044   1.1678917708289872E+044   1.1678654431743630E+044   1.1678122669990363E+044   1.1677212570777613E+044   1.1673578971128234E+044   1.1665366221471419E+044
   72347286037328896.        1.0252651636230957E+044   1.0252644877748646E+044   1.0252583369692304E+044   1.0252366650127084E+044   1.0251928922490221E+044   1.0251179757835361E+044   1.0248188658187360E+044   1.0241427888739722E+044
   75635799039025664.        9.0527758383129956E+043   9.0527701952449336E+043   9.0527188384172985E+043   9.0525378859010038E+043   9.0521723994959430E+043   9.0515468727180246E+043   9.0490493823823001E+043   9.0434041698503485E+043
   78924312040722432.        8.0357835598630236E+043   8.0357787907293706E+043   8.0357353874584506E+043   8.0355824586994443E+043   8.0352735740023591E+043   8.0347449191649467E+043   8.0326341841694038E+043   8.0278630728013667E+043
   82212825042419200.        7.1678297795517140E+043   7.1678257066588065E+043   7.1677886397804747E+043   7.1676580368436065E+043   7.1673942454010320E+043   7.1669427664739587E+043   7.1651401554539094E+043   7.1610654540697807E+043
   85501338044115968.        6.4223553751954813E+043   6.4223518649868904E+043   6.4223199190231898E+043   6.4222073592736720E+043   6.4219800111714871E+043   6.4215909042639367E+043   6.4200373154653794E+043   6.4165254599811570E+043
