 4.6285E+22  3.2713E-11  1.1672E+04  7.4643E-05  1.0000E+00  7.1845E-06
 1.3886E+23  2.2894E-10  1.1676E+04  7.4643E-05  1.0000E+00  7.1845E-06
 2.3143E+23  6.2093E-10  1.1688E+04  7.4643E-05  1.0000E+00  7.1845E-06
 3.2400E+23  1.2072E-09  1.1716E+04  7.4643E-05  1.0000E+00  7.1845E-06
 4.1657E+23  1.9843E-09  1.1764E+04  7.4643E-05  1.0000E+00  7.1845E-06
 5.0914E+23  2.9461E-09  1.1843E+04  7.4643E-05  1.0000E+00  7.1845E-06
 6.0171E+23  4.0801E-09  1.1965E+04  7.4643E-05  1.0000E+00  7.1845E-06
 6.9428E+23  5.3741E-09  1.2140E+04  7.4643E-05  1.0000E+00  7.1845E-06
 7.8685E+23  6.7945E-09  1.2398E+04  7.4643E-05  1.0000E+00  7.1845E-06
 8.7942E+23  8.3128E-09  1.2756E+04  7.4643E-05  1.0000E+00  7.1845E-06
 9.7199E+23  9.9099E-09  1.3190E+04  7.4643E-05  1.0000E+00  7.1845E-06
 1.0646E+24  1.1607E-08  1.3627E+04  7.4643E-05  1.0000E+00  7.1845E-06
 1.1571E+24  1.3482E-08  1.3944E+04  7.4643E-05  1.0000E+00  7.1845E-06
 1.2497E+24  1.5592E-08  1.4115E+04  7.4643E-05  1.0000E+00  7.1845E-06
 1.3423E+24  1.7889E-08  1.4209E+04  7.4643E-05  1.0000E+00  7.1845E-06
 1.4348E+24  2.0341E-08  1.4309E+04  7.4643E-05  9.9999E-01  7.1845E-06
 1.5274E+24  2.2927E-08  1.4409E+04  7.4643E-05  9.9999E-01  7.1845E-06
 1.6200E+24  2.5672E-08  1.4503E+04  7.4643E-05  9.9999E-01  7.1845E-06
 1.7126E+24  2.8554E-08  1.4594E+04  7.4643E-05  9.9999E-01  7.1845E-06
 1.8051E+24  3.1596E-08  1.4676E+04  7.4643E-05  9.9999E-01  7.1845E-06
 1.8977E+24  3.4774E-08  1.4755E+04  7.4643E-05  9.9999E-01  7.1845E-06
 1.9903E+24  3.8117E-08  1.4831E+04  7.4643E-05  9.9999E-01  7.1845E-06
 2.0828E+24  4.1584E-08  1.4906E+04  7.4643E-05  9.9999E-01  7.1845E-06
 2.1754E+24  4.5189E-08  1.4978E+04  7.4643E-05  9.9999E-01  7.1845E-06
 2.2680E+24  4.8954E-08  1.5048E+04  7.4643E-05  9.9999E-01  7.1845E-06
 2.3605E+24  5.2865E-08  1.5117E+04  7.4643E-05  9.9999E-01  7.1845E-06
 2.4531E+24  5.6907E-08  1.5180E+04  7.4643E-05  9.9999E-01  7.1845E-06
 2.5457E+24  6.1084E-08  1.5245E+04  7.4643E-05  9.9998E-01  7.1845E-06
 2.6383E+24  6.5433E-08  1.5308E+04  7.4643E-05  9.9998E-01  7.1845E-06
 2.7308E+24  6.9890E-08  1.5367E+04  7.4643E-05  9.9998E-01  7.1845E-06
 2.8234E+24  7.4484E-08  1.5427E+04  7.4643E-05  9.9998E-01  7.1845E-06
 2.9160E+24  7.9220E-08  1.5484E+04  7.4643E-05  9.9998E-01  7.1845E-06
 3.0085E+24  8.4162E-08  1.5539E+04  7.4643E-05  9.9998E-01  7.1845E-06
 3.1011E+24  8.9192E-08  1.5595E+04  7.4643E-05  9.9998E-01  7.1845E-06
 3.1937E+24  9.4310E-08  1.5648E+04  7.4643E-05  9.9998E-01  7.1845E-06
 3.2862E+24  9.9630E-08  1.5700E+04  7.4643E-05  9.9997E-01  7.1845E-06
 3.3788E+24  1.0501E-07  1.5750E+04  7.4643E-05  9.9997E-01  7.1845E-06
